Value
1483
1171
1423
1576
815
370
1041
1483
1594
2446
2665
3098
3650.518
1475.1
837.128
699.337
668.214
1244.161
1365.661
1005.174
826.655
1978.73
3650.993
2981.779
590.013
2115.295
1914.612
647.396
393.404
208.954
728.095
1174.543
703.928
1049.634
2068.257
1231.964
2744.05
961.316
649.501
1051.872
243.469
325.096
891.386
796.844
1078.118
1292.679
2814.262
2008.264
1516.589
474.307
978.799
738.124
555.681
1220.535
2286.605
2072.599
3196.114
1857.937
